model_id,story_id,condition_id,persona_id,temperature,temperature_label,emotion,membership_family,membership_hmax,n_attempts,n_valid_entropy,n_missing_entropy,n_valid_H_raw,mean_H_raw,median_H_raw,sd_H_raw,min_H_raw,max_H_raw,n_valid_H_norm,mean_H_norm,median_H_norm,sd_H_norm,min_H_norm,max_H_norm
anthropic/claude-sonnet-4.5,T1,C03,p1,0.7,t07,surprise,legacy_linear_v1,1.057697511124,3,3,0,3,0.862808037,0.862808037,0.0,0.862808037,0.862808037,3,0.815741768,0.815741768,0.0,0.815741768,0.815741768
anthropic/claude-sonnet-4.5,T1,C03,p1,0.7,t07,surprise,sigmoid_s_v1,1.018502773018,3,3,0,3,0.511089574,0.511089574,0.0,0.511089574,0.511089574,3,0.501804794,0.501804794,0.0,0.501804794,0.501804794
anthropic/claude-sonnet-4.5,T1,C04,p1,0.9,t09,anger,legacy_linear_v1,1.057697511124,3,3,0,3,0.328136583,0.328136583,0.0,0.328136583,0.328136583,3,0.310236698,0.310236698,0.0,0.310236698,0.310236698
anthropic/claude-sonnet-4.5,T1,C04,p1,0.9,t09,anger,sigmoid_s_v1,1.018502773018,3,3,0,3,0.115989832,0.115989832,0.0,0.115989832,0.115989832,3,0.113882686,0.113882686,0.0,0.113882686,0.113882686
anthropic/claude-sonnet-4.5,T1,C04,p1,0.9,t09,interest,legacy_linear_v1,1.057697511124,3,3,0,3,0.521146811,0.521146811,0.0,0.521146811,0.521146811,3,0.492718198,0.492718198,0.0,0.492718198,0.492718198
anthropic/claude-sonnet-4.5,T1,C04,p1,0.9,t09,interest,sigmoid_s_v1,1.018502773018,3,3,0,3,0.530069958,0.530069958,0.0,0.530069958,0.530069958,3,0.520440368,0.520440368,0.0,0.520440368,0.520440368
anthropic/claude-sonnet-4.5,T1,C04,p1,0.9,t09,sadness,legacy_linear_v1,1.057697511124,3,3,0,3,1.0,1.0,0.0,1.0,1.0,3,0.945449894,0.945449894,0.0,0.945449894,0.945449894
anthropic/claude-sonnet-4.5,T1,C04,p1,0.9,t09,sadness,sigmoid_s_v1,1.018502773018,3,3,0,3,0.769302148,0.769302148,0.0,0.769302148,0.769302148,3,0.755326513,0.755326513,0.0,0.755326513,0.755326513
anthropic/claude-sonnet-4.5,T1,C04,p1,0.9,t09,surprise,legacy_linear_v1,1.057697511124,3,3,0,3,0.862808037,0.862808037,0.0,0.862808037,0.862808037,3,0.815741768,0.815741768,0.0,0.815741768,0.815741768
anthropic/claude-sonnet-4.5,T1,C04,p1,0.9,t09,surprise,sigmoid_s_v1,1.018502773018,3,3,0,3,0.511089574,0.511089574,0.0,0.511089574,0.511089574,3,0.501804794,0.501804794,0.0,0.501804794,0.501804794
anthropic/claude-sonnet-4.5,T1,C05,p2,0.1,t01,anger,legacy_linear_v1,1.057697511124,3,3,0,3,0.328136583,0.328136583,0.0,0.328136583,0.328136583,3,0.310236698,0.310236698,0.0,0.310236698,0.310236698
anthropic/claude-sonnet-4.5,T1,C05,p2,0.1,t01,anger,sigmoid_s_v1,1.018502773018,3,3,0,3,0.115989832,0.115989832,0.0,0.115989832,0.115989832,3,0.113882686,0.113882686,0.0,0.113882686,0.113882686
anthropic/claude-sonnet-4.5,T1,C05,p2,0.1,t01,interest,legacy_linear_v1,1.057697511124,3,3,0,3,0.521146811,0.521146811,0.0,0.521146811,0.521146811,3,0.492718198,0.492718198,0.0,0.492718198,0.492718198
anthropic/claude-sonnet-4.5,T1,C05,p2,0.1,t01,interest,sigmoid_s_v1,1.018502773018,3,3,0,3,0.530069958,0.530069958,0.0,0.530069958,0.530069958,3,0.520440368,0.520440368,0.0,0.520440368,0.520440368
anthropic/claude-sonnet-4.5,T1,C05,p2,0.1,t01,sadness,legacy_linear_v1,1.057697511124,3,3,0,3,1.0,1.0,0.0,1.0,1.0,3,0.945449894,0.945449894,0.0,0.945449894,0.945449894
anthropic/claude-sonnet-4.5,T1,C05,p2,0.1,t01,sadness,sigmoid_s_v1,1.018502773018,3,3,0,3,0.769302148,0.769302148,0.0,0.769302148,0.769302148,3,0.755326513,0.755326513,0.0,0.755326513,0.755326513
anthropic/claude-sonnet-4.5,T1,C05,p2,0.1,t01,surprise,legacy_linear_v1,1.057697511124,3,3,0,3,1.021089678,1.021089678,0.0,1.021089678,1.021089678,3,0.965389128,0.965389128,0.0,0.965389128,0.965389128
anthropic/claude-sonnet-4.5,T1,C05,p2,0.1,t01,surprise,sigmoid_s_v1,1.018502773018,3,3,0,3,0.631293721,0.631293721,0.0,0.631293721,0.631293721,3,0.619825235,0.619825235,0.0,0.619825235,0.619825235
anthropic/claude-sonnet-4.5,T1,C06,p2,0.4,t04,anger,legacy_linear_v1,1.057697511124,3,3,0,3,0.328136583,0.328136583,0.0,0.328136583,0.328136583,3,0.310236698,0.310236698,0.0,0.310236698,0.310236698
anthropic/claude-sonnet-4.5,T1,C06,p2,0.4,t04,anger,sigmoid_s_v1,1.018502773018,3,3,0,3,0.115989832,0.115989832,0.0,0.115989832,0.115989832,3,0.113882686,0.113882686,0.0,0.113882686,0.113882686
anthropic/claude-sonnet-4.5,T1,C06,p2,0.4,t04,interest,legacy_linear_v1,1.057697511124,3,3,0,3,0.521146811,0.521146811,0.0,0.521146811,0.521146811,3,0.492718198,0.492718198,0.0,0.492718198,0.492718198
anthropic/claude-sonnet-4.5,T1,C06,p2,0.4,t04,interest,sigmoid_s_v1,1.018502773018,3,3,0,3,0.530069958,0.530069958,0.0,0.530069958,0.530069958,3,0.520440368,0.520440368,0.0,0.520440368,0.520440368
anthropic/claude-sonnet-4.5,T1,C06,p2,0.4,t04,sadness,legacy_linear_v1,1.057697511124,3,3,0,3,1.0,1.0,0.0,1.0,1.0,3,0.945449894,0.945449894,0.0,0.945449894,0.945449894
